Ms,maxfield,t
-1358.0,-9.620276715860856,5294.0
-1348.0,-9.602936856769439,5295.0
-1324.0,-9.585217890173759,5296.0
-1354.0,-9.567120515588316,5297.0
-1368.0,-9.548645447466432,5298.0
-1378.0,-9.52979341517218,5299.0
-1346.0,-9.51056516295154,5300.0
-1376.0,-9.490961449902963,5301.0
-1400.0,-9.47098304994745,5302.0
-1348.0,-9.450630751798045,5303.0
-1390.0,-9.42990535892863,5304.0
-1362.0,-9.408807689542279,5305.0
-1358.0,-9.387338576538754,5306.0
-1364.0,-9.365498867481925,5307.0
-1352.0,-9.34328942456611,5308.0
-1408.0,-9.320711124582115,5309.0
-1408.0,-9.297764858882534,5310.0
-1416.0,-9.274451533346621,5311.0
-1376.0,-9.250772068344578,5312.0
-1386.0,-9.22672739870116,5313.0
-1396.0,-9.202318473658703,5314.0
-1432.0,-9.177546256839825,5315.0
-1424.0,-9.152411726209177,5316.0
-1414.0,-9.126915874035046,5317.0
-1408.0,-9.101059706849963,5318.0
-1422.0,-9.074844245411162,5319.0
-1416.0,-9.048270524660204,5320.0
-1406.0,-9.021339593682024,5321.0
-1428.0,-8.994052515663723,5322.0
-1398.0,-8.966410367852358,5323.0
-1408.0,-8.938414241512655,5324.0
-1436.0,-8.91006524188368,5325.0
-1400.0,-8.881364488135466,5326.0
-1452.0,-8.852313113324557,5327.0
-1410.0,-8.822912264349524,5328.0
-1466.0,-8.793163101905572,5329.0
-1448.0,-8.763066800438665,5330.0
-1452.0,-8.732624548099215,5331.0
-1450.0,-8.701837546695256,5332.0
-1462.0,-8.670707011644884,5333.0
-1454.0,-8.639234171928356,5334.0
-1448.0,-8.607420270039459,5335.0
-1498.0,-8.57526656193653,5336.0
-1482.0,-8.542774316992942,5337.0
-1476.0,-8.509944817946929,5338.0
-1462.0,-8.476779360850864,5339.0
-1454.0,-8.443279255020165,5340.0
-1502.0,-8.40944582298169,5341.0
-1500.0,-8.3752804004214,5342.0
-1480.0,-8.340784336131716,5343.0
-1508.0,-8.305958991958152,5344.0
-1500.0,-8.270805742745624,5345.0
-1550.0,-8.235325976284264,5346.0
-1518.0,-8.199521093254535,5347.0
-1510.0,-8.163392507171833,5348.0
-1530.0,-8.126941644330955,5349.0
-1550.0,-8.090169943749473,5350.0
-1534.0,-8.053078857111242,5351.0
-1514.0,-8.015669848708768,5352.0
-1512.0,-7.9779443953857365,5353.0
-1590.0,-7.9399039864783605,5354.0
-1564.0,-7.901550123756936,5355.0
-1572.0,-7.862884321366201,5356.0
-1542.0,-7.823908105765875,5357.0
-1578.0,-7.7846230156702525,5358.0
-1562.0,-7.745030601987381,5359.0
-1590.0,-7.705132427757915,5360.0
-1596.0,-7.664930068093501,5361.0
-1602.0,-7.624425110114461,5362.0
-1584.0,-7.583619152887227,5363.0
-1632.0,-7.542513807361072,5364.0
-1596.0,-7.501110696304608,5365.0
-1602.0,-7.459411454241813,5366.0
-1604.0,-7.417417727387363,5367.0
-1602.0,-7.375131173581783,5368.0
-1658.0,-7.332553462225624,5369.0
-1634.0,-7.289686274214118,5370.0
-1664.0,-7.246531301870447,5371.0
-1630.0,-7.203090248879077,5372.0
-1626.0,-7.1593648302183475,5373.0
-1676.0,-7.115356772092866,5374.0
-1648.0,-7.071067811865467,5375.0
-1676.0,-7.026499697988511,5376.0
-1688.0,-6.981654189934724,5377.0
-1670.0,-6.936533058128075,5378.0
-1704.0,-6.8911380838734875,5379.0
-1734.0,-6.845471059286918,5380.0
-1722.0,-6.7995337872242,5381.0
-1732.0,-6.753328081210229,5382.0
-1742.0,-6.706855765367214,5383.0
-1718.0,-6.660118674342507,5384.0
-1774.0,-6.61311865323654,5385.0
-1762.0,-6.565857557529561,5386.0
-1762.0,-6.518337253008814,5387.0
-1788.0,-6.470559615694445,5388.0
-1738.0,-6.422526531765876,5389.0
-1762.0,-6.3742398974869054,5390.0
-1802.0,-6.3257016191312285,5391.0
-1796.0,-6.276913612907019,5392.0
-1788.0,-6.22787780488117,5393.0
-1836.0,-6.178596130903364,5394.0
-1864.0,-6.129070536529761,5395.0
-1826.0,-6.079302976946025,5396.0
-1858.0,-6.029295416890306,5397.0
-1852.0,-5.979049830575223,5398.0
-1852.0,-5.928568201610601,5399.0
-1880.0,-5.877852522924714,5400.0
-1846.0,-5.826904796685776,5401.0
-1924.0,-5.775727034222723,5402.0
-1906.0,-5.72432125594593,5403.0
-1910.0,-5.672689491267561,5404.0
-1884.0,-5.620833778521275,5405.0
-1944.0,-5.568756164881882,5406.0
-1936.0,-5.516458706284338,5407.0
-1946.0,-5.463943467342699,5408.0
-1982.0,-5.41121252126874,5409.0
-1942.0,-5.358267949789981,5410.0
-2000.0,-5.30511184306733,5411.0
-2026.0,-5.25174629961298,5412.0
-2008.0,-5.19817342620709,5413.0
-2058.0,-5.144395337815093,5414.0
-2058.0,-5.090414157503714,5415.0
-2068.0,-5.036232016357644,5416.0
-2052.0,-4.981851053394917,5417.0
-2066.0,-4.927273415482959,5418.0
-2054.0,-4.872501257253338,5419.0
-2088.0,-4.817536741017141,5420.0
-2136.0,-4.762382036679414,5421.0
-2108.0,-4.707039321653383,5422.0
-2162.0,-4.651510780774613,5423.0
-2176.0,-4.59579860621488,5424.0
-2174.0,-4.539904997395442,5425.0
-2210.0,-4.483832160900331,5426.0
-2200.0,-4.4275823103890595,5427.0
-2252.0,-4.371157666509345,5428.0
-2234.0,-4.314560456809577,5429.0
-2266.0,-4.257792915650685,5430.0
-2254.0,-4.200857284118121,5431.0
-2276.0,-4.1437558099328715,5432.0
-2306.0,-4.0864907473634915,5433.0
-2340.0,-4.029064357136599,5434.0
-2350.0,-3.9714789063478144,5435.0
-2350.0,-3.913736668372069,5436.0
-2354.0,-3.855839922773981,5437.0
-2358.0,-3.797790955217998,5438.0
-2398.0,-3.7395920573780272,5439.0
-2408.0,-3.681245526846773,5440.0
-2388.0,-3.6227536670454876,5441.0
-2414.0,-3.564118787132508,5442.0
-2400.0,-3.505343201912628,5443.0
-2426.0,-3.446429231745179,5444.0
-2408.0,-3.387379202452893,5445.0
-2416.0,-3.3281954452298823,5446.0
-2444.0,-3.2688802965494776,5447.0
-2440.0,-3.209436098072118,5448.0
-2444.0,-3.149865196553041,5449.0
-2446.0,-3.090169943749505,5450.0
-2460.0,-3.0303526963277405,5451.0
-2468.0,-2.9704158157703873,5452.0
-2474.0,-2.9103616682827265,5453.0
-2472.0,-2.8501926246997393,5454.0
-2480.0,-2.789911060392308,5455.0
-2478.0,-2.729519355173306,5456.0
-2466.0,-2.669019893203779,5457.0
-2472.0,-2.6084150628989624,5458.0
-2474.0,-2.547707256833784,5459.0
-2482.0,-2.486898871648617,5460.0
-2482.0,-2.425992307954113,5461.0
-2484.0,-2.364989970237255,5462.0
-2484.0,-2.3038942667658833,5463.0
-2480.0,-2.2427076094938276,5464.0
-2488.0,-2.1814324139654797,5465.0
-2490.0,-2.12007109922057,5466.0
-2494.0,-2.0586260876988054,5467.0
-2492.0,-1.9970998051441011,5468.0
-2480.0,-1.9354946805086026,5469.0
-2494.0,-1.873813145857285,5470.0
-2498.0,-1.8120576362713814,5471.0
-2500.0,-1.750230589752737,5472.0
-2496.0,-1.6883344471273543,5473.0
-2494.0,-1.6263716519488203,5474.0
-2496.0,-1.564344650402332,5475.0
-2492.0,-1.5022558912075625,5476.0
-2490.0,-1.4401078255225528,5477.0
-2490.0,-1.3779029068463802,5478.0
-2498.0,-1.3156435909228639,5479.0
-2500.0,-1.2533323356430497,5480.0
-2496.0,-1.190971600948744,5481.0
-2500.0,-1.1285638487348322,5482.0
-2494.0,-1.0661115427525831,5483.0
-2498.0,-1.003617148512172,5484.0
-2500.0,-0.9410831331852055,5485.0
-2500.0,-0.8785119655074626,5486.0
-2496.0,-0.8159061156815749,5487.0
-2500.0,-0.753268055279295,5488.0
-2500.0,-0.6906002571440651,5489.0
-2498.0,-0.6279051952931803,5490.0
-2500.0,-0.5651853448202603,5491.0
